,Name,Url,Stargazer_Count,Total Releases,Age
140,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,11219,47,5
141,hyb1996/Auto.js,https://github.com/hyb1996/Auto.js,11198,0,5
142,jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,11172,0,9
143,androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,11166,0,10
144,Netflix/eureka,https://github.com/Netflix/eureka,11141,142,9
145,Yalantis/uCrop,https://github.com/Yalantis/uCrop,11112,15,6
146,projectlombok/lombok,https://github.com/projectlombok/lombok,11014,3,12
147,pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,10998,9,7
148,java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui,10961,18,6
149,permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,10900,40,6
150,alibaba/vlayout,https://github.com/alibaba/vlayout,10830,34,5
151,google/guice,https://github.com/google/guice,10830,15,7
152,alibaba/DataX,https://github.com/alibaba/DataX,10755,0,4
153,codecentric/spring-boot-admin,https://github.com/codecentric/spring-boot-admin,10704,67,7
154,android-async-http/android-async-http,https://github.com/android-async-http/android-async-http,10655,3,11
155,macrozheng/mall-learning,https://github.com/macrozheng/mall-learning,10643,0,2
156,H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,10556,4,6
157,apache/pulsar,https://github.com/apache/pulsar,10528,53,5
158,lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,10478,65,6
159,lipangit/JiaoZiVideoPlayer,https://github.com/lipangit/JiaoZiVideoPlayer,10418,78,6
160,jeasonlzy/okhttp-OkGo,https://github.com/jeasonlzy/okhttp-OkGo,10408,14,6
161,frank-lam/fullstack-tutorial,https://github.com/frank-lam/fullstack-tutorial,10406,0,3
162,redis/jedis,https://github.com/redis/jedis,10331,62,11
163,tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,10312,11,6
164,mission-peace/interview,https://github.com/mission-peace/interview,10287,0,7
165,code4craft/webmagic,https://github.com/code4craft/webmagic,10285,20,8
166,apache/zookeeper,https://github.com/apache/zookeeper,10270,0,12
167,JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,10215,0,10
168,gyf-dev/ImmersionBar,https://github.com/gyf-dev/ImmersionBar,10182,0,4
169,JessYanCoding/MVPArms,https://github.com/JessYanCoding/MVPArms,10156,25,5
170,janishar/mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf,10089,3,4
171,daniulive/SmarterStreaming,https://github.com/daniulive/SmarterStreaming,9959,0,5
172,aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,9911,0,13
173,neo4j/neo4j,https://github.com/neo4j/neo4j,9838,72,9
174,chefyuan/algorithm-base,https://github.com/chefyuan/algorithm-base,9816,0,1
175,YoKeyword/Fragmentation,https://github.com/YoKeyword/Fragmentation,9715,30,6
176,careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,9704,0,6
177,google/auto,https://github.com/google/auto,9664,55,8
178,liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,9664,8,7
179,ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,9624,0,7
180,HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,9608,1,6
181,wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations,9588,0,7
182,DuGuQiuBai/Java,https://github.com/DuGuQiuBai/Java,9585,0,6
183,react-native-camera/react-native-camera,https://github.com/react-native-camera/react-native-camera,9559,144,6
184,quarkusio/quarkus,https://github.com/quarkusio/quarkus,9550,165,3
185,pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,9541,6,7
186,grpc/grpc-java,https://github.com/grpc/grpc-java,9520,109,7
187,square/javapoet,https://github.com/square/javapoet,9468,0,9
188,pockethub/PocketHub,https://github.com/pockethub/PocketHub,9455,1,10
189,googlesamples/easypermissions,https://github.com/googlesamples/easypermissions,9399,12,6
190,umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,9397,8,8
191,clojure/clojure,https://github.com/clojure/clojure,9386,0,11
192,jhy/jsoup,https://github.com/jhy/jsoup,9348,5,12
193,zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,9341,255,6
194,apereo/cas,https://github.com/apereo/cas,9316,211,10
195,perwendel/spark,https://github.com/perwendel/spark,9276,0,10
196,paascloud/paascloud-master,https://github.com/paascloud/paascloud-master,9273,0,4
197,MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server,9251,7,7
198,bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,9242,5,8
